Score,Level,Mean1,SD1,Mean2,SD2,Mean3,SD3
Independence,3,NA,NA,NA,NA,0.0637,0.7702
Independence,4,0.019970107,0.894907651,0.144451924,0.774065454,0.0903,0.7651
Independence,5,NA,NA,NA,NA,0.0895,0.7730
Independence,6,NA,NA,NA,NA,0.0854,0.7849
Independence,7,NA,NA,NA,NA,0.1049,0.7963
Independence,8,NA,NA,NA,NA,0.1049,0.7963
Independence,9,NA,NA,NA,NA,0.3180,0.7851
Influence,1,0.722060707,0.739329249,1.232842975,0.571435474,1.2225,0.5750
Influence,2,0.722060707,0.739329249,1.232842975,0.571435474,1.2225,0.5750
Influence,3,NA,NA,1.232842975,0.571435474,1.1923,0.5936
Influence,4,0.655461745,0.746057306,1.147200924,0.603064784,1.1619,0.5895
Influence,5,NA,NA,NA,NA,1.0415,0.6380
Influence,6,NA,NA,NA,NA,0.9887,0.6574
Influence,7,NA,NA,NA,NA,0.8318,0.6987
Influence,8,NA,NA,NA,NA,0.8318,0.6987
Influence,9,NA,NA,NA,NA,0.7026,0.6911
keychallenges,1,28.9173,17.70638,30.1092437,18.21947653,30.4563,18.3082
keychallenges,2,28.9173,17.70638,30.1092437,18.21947653,30.4563,18.3082
keychallenges,3,28.9173,17.70638,23.71500314,15.08436517,23.6253,15.8754
keychallenges,4,24.2963,14.03488,22.80730223,14.6903568,21.7687,14.8880
keychallenges,5,17.513,12.47976,18.96753832,13.39166867,17.6497,12.9028
keychallenges,6,17.513,12.47976,15.27922409,11.43700302,14.0038,10.8606
keychallenges,7,11.3072,10.1059,10.79310345,9.488897323,10.4088,9.2080
keychallenges,8,11.3072,10.1059,10.79310345,9.488897323,10.4088,9.2080
keychallenges,9,11.0357,10.1475,5.409937888,5.743629395,5.5234,5.5335
Mental,1,0.702,0.69043,0.907148593,0.5592607,0.9084,0.5492
Mental,2,0.702,0.69043,0.907148593,0.5592607,0.9084,0.5492
Mental,3,0.702,0.69043,0.899920303,0.559993426,0.8810,0.5741
Mental,4,0.5777,0.68942,0.910901643,0.581043766,0.8600,0.5892
Mental,5,0.5361,0.70622,0.88161382,0.631311099,0.8426,0.6142
Mental,6,0.5361,0.70622,0.8196768,0.62851043,0.7660,0.6245
Mental,7,0.4868,0.74688,0.765634605,0.640826536,0.7111,0.6432
Mental,8,0.4868,0.74688,0.765634605,0.640826536,0.7111,0.6432
Mental,9,0.2746,0.79361,0.679160973,0.719254515,0.7515,0.6617
MicroManaging,1,-1.1104,1.72777,-1.1104,1.72777,-2.2686,1.3098
MicroManaging,2,-1.1104,1.72777,-1.1104,1.72777,-2.2686,1.3098
MicroManaging,3,-1.1104,1.72777,-1.1104,1.72777,-2.1817,1.4068
MicroManaging,4,-0.8999,1.66343,-0.8999,1.66343,-2.0310,1.3917
MicroManaging,5,-0.6241,1.70714,-0.6241,1.70714,-2.0233,1.4539
MicroManaging,6,-0.6241,1.70714,-0.6241,1.70714,-1.8988,1.5113
MicroManaging,7,-0.4197,1.71051,-0.4197,1.71051,-1.6866,1.5005
MicroManaging,8,-0.4197,1.71051,-0.4197,1.71051,-1.6866,1.5005
MicroManaging,9,-0.3478,1.82427,-0.3478,1.82427,-1.4177,1.5775
Need.for.Achievement,1,0.743858018,0.734508182,1.003343766,0.60230918,0.9630,0.6003
Need.for.Achievement,2,0.743858018,0.734508182,1.003343766,0.60230918,0.9630,0.6003
Need.for.Achievement,3,NA,NA,NA,NA,0.9012,0.5977
Need.for.Achievement,4,0.691534489,0.7829746,0.9016389,0.617721097,0.9024,0.6016
Need.for.Achievement,5,NA,NA,NA,NA,0.8568,0.6207
Need.for.Achievement,6,NA,NA,NA,NA,0.8182,0.6421
Need.for.Achievement,7,NA,NA,NA,NA,0.7141,0.6594
Need.for.Achievement,8,NA,NA,NA,NA,0.7141,0.6594
Need.for.Achievement,9,NA,NA,NA,NA,0.6883,0.6789
Openness.to.Differences,1,0.738775813,0.747535147,1.13651818,0.563773873,1.1439,0.5692
Openness.to.Differences,2,0.738775813,0.747535147,1.13651818,0.563773873,1.1439,0.5692
Openness.to.Differences,3,NA,NA,NA,NA,1.1125,0.5825
Openness.to.Differences,4,0.742720831,0.70780846,1.138076683,0.575213158,1.0917,0.6022
Openness.to.Differences,5,NA,NA,NA,NA,1.0607,0.6265
Openness.to.Differences,6,NA,NA,NA,NA,0.9972,0.6420
Openness.to.Differences,7,NA,NA,NA,NA,1.0120,0.6603
Openness.to.Differences,8,NA,NA,NA,NA,1.0120,0.6603
Openness.to.Differences,9,NA,NA,NA,NA,1.1495,0.6590
Optimism,1,0.6832,0.71665,0.884604208,0.551285986,0.8672,0.5380
Optimism,2,0.6832,0.71665,0.884604208,0.551285986,0.8672,0.5380
Optimism,3,0.6832,0.71665,0.854962189,0.537671047,0.8295,0.5563
Optimism,4,0.6884,0.74513,0.863361329,0.56937374,0.8240,0.5636
Optimism,5,0.5768,0.76453,0.809519107,0.586907922,0.7800,0.5820
Optimism,6,0.5768,0.76453,0.786393144,0.592342358,0.7393,0.5914
Optimism,7,0.4905,0.81646,0.714014492,0.610431967,0.6897,0.6243
Optimism,8,0.4905,0.81646,0.714014492,0.610431967,0.6897,0.6243
Optimism,9,0.4227,0.81995,0.639390164,0.622994722,0.6466,0.6268
People,1,1.1815,1.20542,1.854420753,0.892027557,1.8460,0.9002
People,2,1.1815,1.20542,1.854420753,0.892027557,1.8460,0.9002
People,3,1.1815,1.20542,1.81396535,0.933900903,1.8255,0.9351
People,4,1.1084,1.25727,1.750117889,0.961231789,1.7896,0.9248
People,5,0.9619,1.28387,1.670345192,1.009916815,1.6892,1.0001
People,6,0.9619,1.28387,1.643087985,1.058915326,1.6514,1.0266
People,7,0.8184,1.24433,1.498009876,1.091103139,1.4688,1.0710
People,8,0.8184,1.24433,1.498009876,1.091103139,1.4688,1.0710
People,9,0.6282,1.40079,1.303619673,1.088983928,1.4180,1.0604
Persistence,1,0.794994458,0.739881874,0.943539531,0.631278786,0.9664,0.6191
Persistence,2,0.794994458,0.739881874,0.943539531,0.631278786,0.9664,0.6191
Persistence,3,0.794994458,0.739881874,0.940164512,0.604571839,0.9194,0.6333
Persistence,4,0.754915162,0.773925111,0.855426036,0.648315949,0.8765,0.6523
Persistence,5,0.626222786,0.818451157,0.809387767,0.694245307,0.8261,0.6934
Persistence,6,0.626222786,0.818451157,0.771309199,0.679329259,0.7662,0.6951
Persistence,7,0.639360188,0.810735581,0.70927014,0.735651896,0.6887,0.7414
Persistence,8,0.639360188,0.810735581,0.70927014,0.735651896,0.6887,0.7414
Persistence,9,0.398456827,0.903862339,0.661822882,0.772697415,0.7333,0.7427
perspective,1,18.5038,6.01214,17.03529412,5.286450953,17.2161,5.5452
perspective,2,18.5038,6.01214,17.03529412,5.286450953,17.2161,5.5452
perspective,3,18.5038,6.01214,16.53232894,5.470833185,16.4087,5.6768
perspective,4,15.8683,5.13286,15.66075051,5.193468661,15.2525,5.3606
perspective,5,14.6493,4.86683,15.4761046,5.211071865,14.9105,5.3142
perspective,6,14.6493,4.86683,14.05308831,4.953536866,13.3730,4.9459
perspective,7,12.994,4.31277,12.4187906,4.593748658,12.2415,4.5677
perspective,8,12.994,4.31277,12.4187906,4.593748658,12.2415,4.5677
perspective,9,14.6875,5.53455,8.469979296,2.129770554,8.6170,2.1991
Power,1,0.0319,0.93745,0.443954615,0.713126973,0.4093,0.7029
Power,2,0.0319,0.93745,0.443954615,0.713126973,0.4093,0.7029
Power,3,NA,NA,NA,NA,0.3718,0.7145
Power,4,0.102937666,0.848215285,0.358676945,0.707153631,0.3607,0.7088
Power,5,NA,NA,NA,NA,0.2720,0.7101
Power,6,NA,NA,NA,NA,0.2884,0.7288
Power,7,NA,NA,NA,NA,0.2667,0.7481
Power,8,NA,NA,NA,NA,0.2667,0.7481
Power,9,NA,NA,NA,NA,0.2441,0.7513
Ravens,1,13.2591,4.29201,14.30943396,3.815154399,14.1396,4.0021
Ravens,2,13.2591,4.29201,14.30943396,3.815154399,14.1396,4.0021
Ravens,3,13.2591,4.29201,13.73726852,4.138864208,13.6619,4.2245
Ravens,4,13.7724,4.07954,14.1036036,3.971617699,13.8226,4.1531
Ravens,5,14.6809,4.0632,14.27987664,3.964094714,14.2269,4.0911
Ravens,6,14.6809,4.0632,14.81882353,3.986550016,14.5415,4.1419
Ravens,7,15.0247,4.09001,15.35257891,3.938130815,14.8868,4.3161
Ravens,8,15.0247,4.09001,15.35257891,3.938130815,14.8868,4.3161
Ravens,9,13.4307,4.407,16.75274725,3.694887859,16.4706,3.6900
Results,1,0.7439,0.73451,1.003343766,0.60230918,0.9630,0.6003
Results,2,0.7439,0.73451,1.003343766,0.60230918,0.9630,0.6003
Results,3,0.7439,0.73451,0.9243356,0.583129125,0.9012,0.5977
Results,4,0.6915,0.78297,0.9016389,0.617721097,0.9024,0.6016
Results,5,0.5929,0.79127,0.87410998,0.615027865,0.8568,0.6207
Results,6,0.5929,0.79127,0.842353903,0.644717671,0.8182,0.6421
Results,7,0.5306,0.8018,0.7684859,0.651318841,0.7141,0.6594
Results,8,0.5306,0.8018,0.7684859,0.651318841,0.8182,0.6421
Results,9,0.2001,0.77447,0.633590733,0.719785972,0.7141,0.6594
Risk.Taking,1,0.721917968,0.708778355,0.886501445,0.556567729,0.9043,0.5600
Risk.Taking,2,0.721917968,0.708778355,0.886501445,0.556567729,0.9043,0.5600
Risk.Taking,3,NA,NA,NA,NA,0.8348,0.5883
Risk.Taking,4,0.701721167,0.698788108,0.905247805,0.577328142,0.8297,0.5951
Risk.Taking,5,NA,NA,NA,NA,0.7291,0.5998
Risk.Taking,6,NA,NA,NA,NA,0.6580,0.6317
Risk.Taking,7,NA,NA,NA,NA,0.5427,0.6351
Risk.Taking,8,NA,NA,NA,NA,0.5427,0.6351
Risk.Taking,9,NA,NA,NA,NA,0.4169,0.6317
Role Preference,1,37.635,7.115,47.73809524,7.529946041,47.8962,8.0197
Role Preference,2,37.635,7.115,47.73809524,7.529946041,47.8962,8.0197
Role Preference,3,37.635,7.115,47.23428962,7.906262115,46.9593,7.8778
Role Preference,4,37.798,7.376,47.33072289,7.694648459,46.5952,7.9746
Role Preference,5,38.548,7.379,46.45703743,7.630466794,45.6585,8.0154
Role Preference,6,38.548,7.379,45.8964497,7.897615963,45.0905,8.0100
Role Preference,7,40.225,7.539,45.03716029,7.898162526,44.5245,7.9299
Role Preference,8,40.225,7.539,45.03716029,7.898162526,44.5245,7.9299
Role Preference,9,40.775,7.416,43.82272727,8.47509721,44.1583,8.0056
Self.Awareness,1,0.642,0.63653,0.927800913,0.470331022,0.9441,0.4673
Self.Awareness,2,0.642,0.63653,0.927800913,0.470331022,0.9441,0.4673
Self.Awareness,3,0.642,0.63653,0.942128458,0.465645236,0.9369,0.4779
Self.Awareness,4,0.5968,0.64405,0.912848456,0.493993997,0.9302,0.4946
Self.Awareness,5,0.5825,0.63648,0.938585871,0.498835521,0.9442,0.4971
Self.Awareness,6,0.5825,0.63648,0.921207453,0.499138297,0.9229,0.5055
Self.Awareness,7,0.5259,0.6688,0.866444954,0.524200994,0.8737,0.5381
Self.Awareness,8,0.5259,0.6688,0.866444954,0.524200994,0.8737,0.5381
Self.Awareness,9,0.4603,0.73072,0.841449333,0.531874133,0.8956,0.5228
Situational.Self.Awareness,1,0.5067,0.72081,0.646639694,0.561303319,0.6335,0.5504
Situational.Self.Awareness,2,0.5067,0.72081,0.646639694,0.561303319,0.6335,0.5504
Situational.Self.Awareness,3,0.5067,0.72081,0.638185271,0.549535542,0.6141,0.5664
Situational.Self.Awareness,4,0.4167,0.72032,0.610782079,0.589144773,0.6192,0.5719
Situational.Self.Awareness,5,0.4084,0.74936,0.588524779,0.608569914,0.5817,0.5927
Situational.Self.Awareness,6,0.4084,0.74936,0.569108295,0.61171901,0.5577,0.5989
Situational.Self.Awareness,7,0.346,0.79652,0.548208549,0.601993829,0.5365,0.6005
Situational.Self.Awareness,8,0.346,0.79652,0.548208549,0.601993829,0.5365,0.6005
Situational.Self.Awareness,9,0.2665,0.80142,0.46199101,0.613823944,0.4901,0.5804
Sociability,1,0.36,0.87678,0.774094933,0.622996476,0.7896,0.6310
Sociability,2,0.36,0.87678,0.774094933,0.622996476,0.7896,0.6310
Sociability,3,0.36,0.87678,0.774094933,0.622996476,0.7809,0.6738
Sociability,4,0.2062,0.92224,0.771378502,0.679390293,0.7721,0.6594
Sociability,5,0.1397,0.94903,NA,NA,0.6879,0.6889
Sociability,6,0.1397,0.94903,NA,NA,0.6919,0.6970
Sociability,7,0.3166,0.90603,NA,NA,0.6962,0.7155
Sociability,8,0.3166,0.90603,NA,NA,0.6962,0.7155
Sociability,9,0.0555,0.97139,NA,NA,0.7628,0.7474
Structure,1,0.0139,0.73024,-0.360534866,0.664846427,-0.3823,0.6838
Structure,2,0.0139,0.73024,-0.360534866,0.664846427,-0.3823,0.6838
